ID	Gene Name	Species	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT
CRYZ	crystallin zeta(CRYZ)	Homo sapiens	GO:0007601~visual perception,GO:0042178~xenobiotic catabolic process,GO:0051289~protein homotetramerization,	GO:0005829~cytosol,GO:0070062~extracellular exosome,	GO:0003730~mRNA 3'-UTR binding,GO:0003960~NADPH:quinone reductase activity,GO:0008270~zinc ion binding,GO:0016491~oxidoreductase activity,GO:0042802~identical protein binding,GO:0070402~NADPH binding,
CCNA2	cyclin A2(CCNA2)	Homo sapiens	GO:0000079~regulation of cyclin-dependent protein serine/threonine kinase activity,GO:0000086~G2/M transition of mitotic cell cycle,GO:0006275~regulation of DNA replication,GO:0006351~transcription, DNA-templated,GO:0007265~Ras protein signal transduction,GO:0016572~histone phosphorylation,GO:0031100~animal organ regeneration,GO:0033762~response to glucagon,GO:0036120~cellular response to platelet-derived growth factor stimulus,GO:0044320~cellular response to leptin stimulus,GO:0044772~mitotic cell cycle phase transition,GO:0044843~cell cycle G1/S phase transition,GO:0045893~positive regulation of transcription, DNA-templated,GO:0048146~positive regulation of fibroblast proliferation,GO:0051301~cell division,GO:0071314~cellular response to cocaine,GO:0071373~cellular response to luteinizing hormone stimulus,GO:0071392~cellular response to estradiol stimulus,GO:0071456~cellular response to hypoxia,GO:0071732~cellular response to nitric oxide,GO:0090102~cochlea development,GO:1990314~cellular response to insulin-like growth factor stimulus,	GO:0000307~cyclin-dependent protein kinase holoenzyme complex,GO:0001939~female pronucleus,GO:0001940~male pronucleus,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0097124~cyclin A2-CDK2 complex,	GO:0005515~protein binding,GO:0016538~cyclin-dependent protein serine/threonine kinase regulator activity,GO:0019901~protein kinase binding,GO:0019904~protein domain specific binding,
CCNB2	cyclin B2(CCNB2)	Homo sapiens	GO:0000079~regulation of cyclin-dependent protein serine/threonine kinase activity,GO:0001701~in utero embryonic development,GO:0007057~spindle assembly involved in female meiosis I,GO:0008315~meiotic G2/MI transition,GO:0040008~regulation of growth,GO:0043029~T cell homeostasis,GO:0044772~mitotic cell cycle phase transition,GO:0048538~thymus development,GO:0051301~cell division,	GO:0000307~cyclin-dependent protein kinase holoenzyme complex,GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005813~centrosome,GO:0005829~cytosol,GO:0015630~microtubule cytoskeleton,GO:0016020~membrane,	GO:0005515~protein binding,GO:0016538~cyclin-dependent protein serine/threonine kinase regulator activity,GO:0045296~cadherin binding,
DMTF1	cyclin D binding myb like transcription factor 1(DMTF1)	Homo sapiens	GO:0006355~regulation of transcription, DNA-templated,GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0007049~cell cycle,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005829~cytosol,	GO:0000976~transcription regulatory region sequence-specific DNA binding,GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding,GO:0001228~transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,
CCNF	cyclin F(CCNF)	Homo sapiens	GO:0000079~regulation of cyclin-dependent protein serine/threonine kinase activity,GO:0000320~re-entry into mitotic cell cycle,GO:0001890~placenta development,GO:0010826~negative regulation of centrosome duplication,GO:0016567~protein ubiquitination,GO:0031146~SCF-dependent proteasomal ubiquitin-dependent protein catabolic process,GO:0044772~mitotic cell cycle phase transition,GO:0051301~cell division,GO:0051726~regulation of cell cycle,	GO:0000307~cyclin-dependent protein kinase holoenzyme complex,GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005813~centrosome,GO:0005814~centriole,GO:0005829~cytosol,GO:0019005~SCF ubiquitin ligase complex,GO:0030054~cell junction,GO:0048471~perinuclear region of cytoplasm,	GO:0005515~protein binding,GO:0010997~anaphase-promoting complex binding,GO:0016538~cyclin-dependent protein serine/threonine kinase regulator activity,
CDK19	cyclin dependent kinase 19(CDK19)	Homo sapiens	GO:0006468~protein phosphorylation,GO:0043065~positive regulation of apoptotic process,GO:0050729~positive regulation of inflammatory response,GO:0051301~cell division,GO:0051726~regulation of cell cycle,GO:0071222~cellular response to lipopolysaccharide,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005829~cytosol,GO:0016592~mediator complex,GO:0048471~perinuclear region of cytoplasm,	GO:0004672~protein kinase activity,GO:0004674~protein serine/threonine kinase activity,GO:0004693~cyclin-dependent protein serine/threonine kinase activity,GO:0005524~ATP binding,GO:0008353~RNA polymerase II carboxy-terminal domain kinase activity,
CDK2	cyclin dependent kinase 2(CDK2)	Homo sapiens	GO:0000082~G1/S transition of mitotic cell cycle,GO:0000086~G2/M transition of mitotic cell cycle,GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0006260~DNA replication,GO:0006281~DNA repair,GO:0006351~transcription, DNA-templated,GO:0006468~protein phosphorylation,GO:0006813~potassium ion transport,GO:0007099~centriole replication,GO:0007165~signal transduction,GO:0007265~Ras protein signal transduction,GO:0008284~positive regulation of cell proliferation,GO:0010389~regulation of G2/M transition of mitotic cell cycle,GO:0010468~regulation of gene expression,GO:0016572~histone phosphorylation,GO:0018105~peptidyl-serine phosphorylation,GO:0031453~positive regulation of heterochromatin assembly,GO:0031571~mitotic G1 DNA damage checkpoint,GO:0032298~positive regulation of DNA-dependent DNA replication initiation,GO:0045893~positive regulation of transcription, DNA-templated,GO:0051298~centrosome duplication,GO:0051301~cell division,GO:0051321~meiotic cell cycle,GO:0060968~regulation of gene silencing,GO:0071732~cellular response to nitric oxide,GO:0090398~cellular senescence,GO:1905784~regulation of anaphase-promoting complex-dependent catabolic process,	GO:0000307~cyclin-dependent protein kinase holoenzyme complex,GO:0000781~chromosome, telomeric region,GO:0000793~condensed chromosome,GO:0000805~X chromosome,GO:0000806~Y chromosome,GO:0001673~male germ cell nucleus,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005667~transcription factor complex,GO:0005737~cytoplasm,GO:0005768~endosome,GO:0005813~centrosome,GO:0005829~cytosol,GO:0015030~Cajal body,GO:0097123~cyclin A1-CDK2 complex,GO:0097124~cyclin A2-CDK2 complex,GO:0097134~cyclin E1-CDK2 complex,GO:0097135~cyclin E2-CDK2 complex,	GO:0000287~magnesium ion binding,GO:0004672~protein kinase activity,GO:0004674~protein serine/threonine kinase activity,GO:0004693~cyclin-dependent protein serine/threonine kinase activity,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0019904~protein domain specific binding,GO:0030332~cyclin binding,GO:0035173~histone kinase activity,GO:0046872~metal ion binding,GO:0097472~cyclin-dependent protein kinase activity,
CDKN1A	cyclin dependent kinase inhibitor 1A(CDKN1A)	Homo sapiens	GO:0000079~regulation of cyclin-dependent protein serine/threonine kinase activity,GO:0000082~G1/S transition of mitotic cell cycle,GO:0000086~G2/M transition of mitotic cell cycle,GO:0006606~protein import into nucleus,GO:0006974~cellular response to DNA damage stimulus,GO:0006977~DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest,GO:0006978~DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator,GO:0007095~mitotic G2 DNA damage checkpoint,GO:0007265~Ras protein signal transduction,GO:0007346~regulation of mitotic cell cycle,GO:0007507~heart development,GO:0008285~negative regulation of cell proliferation,GO:0009636~response to toxic substance,GO:0010165~response to X-ray,GO:0010243~response to organonitrogen compound,GO:0010389~regulation of G2/M transition of mitotic cell cycle,GO:0010629~negative regulation of gene expression,GO:0030308~negative regulation of cell growth,GO:0030890~positive regulation of B cell proliferation,GO:0031100~animal organ regeneration,GO:0031668~cellular response to extracellular stimulus,GO:0032091~negative regulation of protein binding,GO:0034198~cellular response to amino acid starvation,GO:0034605~cellular response to heat,GO:0042060~wound healing,GO:0042246~tissue regeneration,GO:0042326~negative regulation of phosphorylation,GO:0042493~response to drug,GO:0042771~intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator,GO:0043066~negative regulation of apoptotic process,GO:0043068~positive regulation of programmed cell death,GO:0045736~negative regulation of cyclin-dependent protein serine/threonine kinase activity,GO:0045860~positive regulation of protein kinase activity,GO:0046685~response to arsenic-containing substance,GO:0048146~positive regulation of fibroblast proliferation,GO:0051412~response to corticosterone,GO:0051726~regulation of cell cycle,GO:0055093~response to hyperoxia,GO:0060574~intestinal epithelial cell maturation,GO:0071479~cellular response to ionizing radiation,GO:0071480~cellular response to gamma radiation,GO:0071493~cellular response to UV-B,GO:0090398~cellular senescence,GO:0090399~replicative senescence,GO:0090400~stress-induced premature senescence,GO:0097193~intrinsic apoptotic signaling pathway,GO:1902806~regulation of cell cycle G1/S phase transition,GO:1904030~negative regulation of cyclin-dependent protein kinase activity,GO:1904031~positive regulation of cyclin-dependent protein kinase activity,GO:1904706~negative regulation of vascular smooth muscle cell proliferation,GO:1905179~negative regulation of cardiac muscle tissue regeneration,GO:2000045~regulation of G1/S transition of mitotic cell cycle,GO:2000134~negative regulation of G1/S transition of mitotic cell cycle,GO:2000278~regulation of DNA biosynthetic process,GO:2000279~negative regulation of DNA biosynthetic process,GO:2000379~positive regulation of reactive oxygen species metabolic process,	GO:0000307~cyclin-dependent protein kinase holoenzyme complex,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005730~nucleolus,GO:0005829~cytosol,GO:0016604~nuclear body,GO:0032991~macromolecular complex,GO:0048471~perinuclear region of cytoplasm,GO:0070557~PCNA-p21 complex,	GO:0004860~protein kinase inhibitor activity,GO:0004861~cyclin-dependent protein serine/threonine kinase inhibitor activity,GO:0005515~protein binding,GO:0016301~kinase activity,GO:0019901~protein kinase binding,GO:0019912~cyclin-dependent protein kinase activating kinase activity,GO:0030332~cyclin binding,GO:0031625~ubiquitin protein ligase binding,GO:0044877~macromolecular complex binding,GO:0046872~metal ion binding,
CSRP1	cysteine and glycine rich protein 1(CSRP1)	Homo sapiens	GO:0030036~actin cytoskeleton organization,GO:0045214~sarcomere organization,GO:0060537~muscle tissue development,GO:0070527~platelet aggregation,	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005925~focal adhesion,GO:0030018~Z disc,GO:0070062~extracellular exosome,	GO:0003723~RNA binding,GO:0005515~protein binding,GO:0008270~zinc ion binding,GO:0008307~structural constituent of muscle,GO:0042805~actinin binding,GO:0046872~metal ion binding,
CHIC2	cysteine rich hydrophobic domain 2(CHIC2)	Homo sapiens		GO:0005794~Golgi apparatus,GO:0005798~Golgi-associated vesicle,GO:0005886~plasma membrane,GO:0043231~intracellular membrane-bounded organelle,	GO:0005515~protein binding,
CRELD2	cysteine rich with EGF like domains 2(CRELD2)	Homo sapiens		GO:0005615~extracellular space,GO:0005783~endoplasmic reticulum,GO:0005794~Golgi apparatus,	GO:0003756~protein disulfide isomerase activity,GO:0005509~calcium ion binding,GO:0005515~protein binding,
CYB561	cytochrome b561(CYB561)	Homo sapiens	GO:0006879~cellular iron ion homeostasis,GO:0022900~electron transport chain,	GO:0005765~lysosomal membrane,GO:0016021~integral component of membrane,GO:0042584~chromaffin granule membrane,	GO:0005515~protein binding,GO:0016491~oxidoreductase activity,GO:0046872~metal ion binding,
CYTH1	cytohesin 1(CYTH1)	Homo sapiens	GO:0016192~vesicle-mediated transport,GO:0030155~regulation of cell adhesion,GO:0032012~regulation of ARF protein signal transduction,GO:0050790~regulation of catalytic activity,GO:0090162~establishment of epithelial cell polarity,	GO:0000139~Golgi membrane,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0005912~adherens junction,GO:0005923~bicellular tight junction,GO:0031234~extrinsic component of cytoplasmic side of plasma membrane,	GO:0005085~guanyl-nucleotide exchange factor activity,GO:0005515~protein binding,GO:0008289~lipid binding,
CIAPIN1	cytokine induced apoptosis inhibitor 1(CIAPIN1)	Homo sapiens	GO:0006915~apoptotic process,GO:0016226~iron-sulfur cluster assembly,GO:0022900~electron transport chain,GO:0030097~hemopoiesis,GO:0043066~negative regulation of apoptotic process,	GO:0005654~nucleoplasm,GO:0005730~nucleolus,GO:0005737~cytoplasm,GO:0005739~mitochondrion,GO:0005758~mitochondrial intermembrane space,	GO:0005515~protein binding,GO:0008168~methyltransferase activity,GO:0009055~electron carrier activity,GO:0046872~metal ion binding,GO:0051537~2 iron, 2 sulfur cluster binding,GO:0051539~4 iron, 4 sulfur cluster binding,
CIAO3	cytosolic iron-sulfur assembly component 3(CIAO3)	Homo sapiens	GO:0001666~response to hypoxia,GO:0002244~hematopoietic progenitor cell differentiation,GO:0010468~regulation of gene expression,GO:0016226~iron-sulfur cluster assembly,GO:0032364~oxygen homeostasis,	GO:0097361~CIA complex,	GO:0005515~protein binding,GO:0046872~metal ion binding,GO:0051539~4 iron, 4 sulfur cluster binding,
DCTD	dCMP deaminase(DCTD)	Homo sapiens	GO:0006220~pyrimidine nucleotide metabolic process,GO:0006226~dUMP biosynthetic process,GO:0006231~dTMP biosynthetic process,	GO:0005829~cytosol,	GO:0003824~catalytic activity,GO:0004132~dCMP deaminase activity,GO:0005515~protein binding,GO:0008270~zinc ion binding,GO:0042802~identical protein binding,
DDB2	damage specific DNA binding protein 2(DDB2)	Homo sapiens	GO:0000209~protein polyubiquitination,GO:0006281~DNA repair,GO:0006289~nucleotide-excision repair,GO:0006290~pyrimidine dimer repair,GO:0006974~cellular response to DNA damage stimulus,GO:0009411~response to UV,GO:0034644~cellular response to UV,GO:0035518~histone H2A monoubiquitination,GO:0051865~protein autoubiquitination,GO:0070914~UV-damage excision repair,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0030054~cell junction,GO:0031464~Cul4A-RING E3 ubiquitin ligase complex,GO:0031465~Cul4B-RING E3 ubiquitin ligase complex,GO:0032991~macromolecular complex,GO:0080008~Cul4-RING E3 ubiquitin ligase complex,GO:0090734~site of DNA damage,	GO:0003677~DNA binding,GO:0003684~damaged DNA binding,GO:0004842~ubiquitin-protein transferase activity,GO:0005515~protein binding,GO:0044877~macromolecular complex binding,
DCUN1D4	defective in cullin neddylation 1 domain containing 4(DCUN1D4)	Homo sapiens	GO:0045116~protein neddylation,GO:0051443~positive regulation of ubiquitin-protein transferase activity,GO:2000436~positive regulation of protein neddylation,	GO:0000151~ubiquitin ligase complex,GO:0005634~nucleus,	GO:0005515~protein binding,GO:0031624~ubiquitin conjugating enzyme binding,GO:0032182~ubiquitin-like protein binding,GO:0097602~cullin family protein binding,
DHDDS	dehydrodolichyl diphosphate synthase subunit(DHDDS)	Homo sapiens	GO:0006489~dolichyl diphosphate biosynthetic process,GO:0016094~polyprenol biosynthetic process,	GO:0005783~endoplasmic reticulum,GO:0005789~endoplasmic reticulum membrane,GO:1904423~dehydrodolichyl diphosphate synthase complex,	GO:0002094~polyprenyltransferase activity,GO:0005515~protein binding,GO:0016765~transferase activity, transferring alkyl or aryl (other than methyl) groups,GO:0045547~dehydrodolichyl diphosphate synthase activity,GO:0046872~metal ion binding,
DHRS7	dehydrogenase/reductase 7(DHRS7)	Homo sapiens	GO:0042572~retinol metabolic process,	GO:0005789~endoplasmic reticulum membrane,GO:0016020~membrane,	GO:0004090~carbonyl reductase (NADPH) activity,GO:0005515~protein binding,GO:0016491~oxidoreductase activity,GO:0016616~oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor,GO:0052650~NADP-retinol dehydrogenase activity,
DCK	deoxycytidine kinase(DCK)	Homo sapiens	GO:0006220~pyrimidine nucleotide metabolic process,GO:0009224~CMP biosynthetic process,GO:0016310~phosphorylation,GO:1901293~nucleoside phosphate biosynthetic process,	GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005739~mitochondrion,GO:0005829~cytosol,	GO:0004136~deoxyadenosine kinase activity,GO:0004137~deoxycytidine kinase activity,GO:0004138~deoxyguanosine kinase activity,GO:0005524~ATP binding,GO:0008144~drug binding,GO:0019136~deoxynucleoside kinase activity,GO:0042803~protein homodimerization activity,GO:0043771~cytidine kinase activity,
DNTTIP2	deoxynucleotidyltransferase terminal interacting protein 2(DNTTIP2)	Homo sapiens	GO:0006396~RNA processing,	GO:0005654~nucleoplasm,GO:0005694~chromosome,GO:0005730~nucleolus,	GO:0003723~RNA binding,GO:0005515~protein binding,
DERA	deoxyribose-phosphate aldolase(DERA)	Homo sapiens	GO:0006098~pentose-phosphate shunt,GO:0009264~deoxyribonucleotide catabolic process,GO:0016052~carbohydrate catabolic process,GO:0046121~deoxyribonucleoside catabolic process,GO:0046386~deoxyribose phosphate catabolic process,	GO:0005576~extracellular region,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0034774~secretory granule lumen,GO:1904813~ficolin-1-rich granule lumen,	GO:0004139~deoxyribose-phosphate aldolase activity,GO:0005515~protein binding,
DSG2	desmoglein 2(DSG2)	Homo sapiens	GO:0002934~desmosome organization,GO:0003165~Purkinje myocyte development,GO:0007155~cell adhesion,GO:0007156~homophilic cell adhesion via plasma membrane adhesion molecules,GO:0086073~bundle of His cell-Purkinje myocyte adhesion involved in cell communication,GO:0086091~regulation of heart rate by cardiac conduction,GO:0098609~cell-cell adhesion,GO:0098911~regulation of ventricular cardiac muscle cell action potential,	GO:0001533~cornified envelope,GO:0005886~plasma membrane,GO:0005911~cell-cell junction,GO:0009986~cell surface,GO:0014704~intercalated disc,GO:0016021~integral component of membrane,GO:0030054~cell junction,GO:0030057~desmosome,GO:0043231~intracellular membrane-bounded organelle,GO:0070062~extracellular exosome,	GO:0005509~calcium ion binding,GO:0050839~cell adhesion molecule binding,GO:0086083~cell adhesive protein binding involved in bundle of His cell-Purkinje myocyte communication,
DLD	dihydrolipoamide dehydrogenase(DLD)	Homo sapiens	GO:0006086~acetyl-CoA biosynthetic process from pyruvate,GO:0006103~2-oxoglutarate metabolic process,GO:0006120~mitochondrial electron transport, NADH to ubiquinone,GO:0006508~proteolysis,GO:0007369~gastrulation,GO:0007568~aging,GO:0009083~branched-chain amino acid catabolic process,GO:0009106~lipoate metabolic process,GO:0042391~regulation of membrane potential,GO:0045454~cell redox homeostasis,GO:0048240~sperm capacitation,GO:0051068~dihydrolipoamide metabolic process,GO:0061732~mitochondrial acetyl-CoA biosynthetic process from pyruvate,	GO:0001669~acrosomal vesicle,GO:0005634~nucleus,GO:0005739~mitochondrion,GO:0005759~mitochondrial matrix,GO:0005947~mitochondrial alpha-ketoglutarate dehydrogenase complex,GO:0005967~mitochondrial pyruvate dehydrogenase complex,GO:0031514~motile cilium,GO:0043159~acrosomal matrix,GO:0045252~oxoglutarate dehydrogenase complex,GO:0045254~pyruvate dehydrogenase complex,	GO:0004148~dihydrolipoyl dehydrogenase activity,GO:0005515~protein binding,GO:0016668~oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor,GO:0034604~pyruvate dehydrogenase (NAD+) activity,GO:0043544~lipoamide binding,GO:0050660~flavin adenine dinucleotide binding,GO:0051287~NAD binding,
DPH2	diphthamide biosynthesis 2(DPH2)	Homo sapiens	GO:0017183~peptidyl-diphthamide biosynthetic process from peptidyl-histidine,	GO:0005829~cytosol,GO:0032991~macromolecular complex,	GO:0005515~protein binding,GO:0051539~4 iron, 4 sulfur cluster binding,GO:0090560~2-(3-amino-3-carboxypropyl)histidine synthase activity,
DDR1	discoidin domain receptor tyrosine kinase 1(DDR1)	Homo sapiens	GO:0001558~regulation of cell growth,GO:0001952~regulation of cell-matrix adhesion,GO:0007155~cell adhesion,GO:0007169~transmembrane receptor protein tyrosine kinase signaling pathway,GO:0007275~multicellular organism development,GO:0007566~embryo implantation,GO:0007595~lactation,GO:0008283~cell proliferation,GO:0008285~negative regulation of cell proliferation,GO:0010715~regulation of extracellular matrix disassembly,GO:0014909~smooth muscle cell migration,GO:0033674~positive regulation of kinase activity,GO:0038063~collagen-activated tyrosine kinase receptor signaling pathway,GO:0038083~peptidyl-tyrosine autophosphorylation,GO:0043583~ear development,GO:0044319~wound healing, spreading of cells,GO:0046777~protein autophosphorylation,GO:0060444~branching involved in mammary gland duct morphogenesis,GO:0060749~mammary gland alveolus development,GO:0061302~smooth muscle cell-matrix adhesion,GO:0061564~axon development,GO:1990138~neuron projection extension,	GO:0005615~extracellular space,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0043235~receptor complex,GO:0070062~extracellular exosome,	GO:0004714~transmembrane receptor protein tyrosine kinase activity,GO:0005515~protein binding,GO:0005518~collagen binding,GO:0005524~ATP binding,GO:0038062~protein tyrosine kinase collagen receptor activity,GO:0046872~metal ion binding,
DMAC2L	distal membrane arm assembly component 2 like(DMAC2L)	Homo sapiens	GO:0006754~ATP biosynthetic process,GO:1902600~hydrogen ion transmembrane transport,	GO:0005737~cytoplasm,GO:0005743~mitochondrial inner membrane,GO:0045263~proton-transporting ATP synthase complex, coupling factor F(o),	GO:0015078~hydrogen ion transmembrane transporter activity,GO:0046872~metal ion binding,
DIPK1A	divergent protein kinase domain 1A(DIPK1A)	Homo sapiens		GO:0005789~endoplasmic reticulum membrane,GO:0016021~integral component of membrane,
DUSP11	dual specificity phosphatase 11(DUSP11)	Homo sapiens	GO:0006396~RNA processing,GO:0006470~protein dephosphorylation,GO:0016070~RNA metabolic process,GO:0098507~polynucleotide 5' dephosphorylation,	GO:0001650~fibrillar center,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0016607~nuclear speck,GO:0045171~intercellular bridge,	GO:0003723~RNA binding,GO:0004651~polynucleotide 5'-phosphatase activity,GO:0004725~protein tyrosine phosphatase activity,GO:0008138~protein tyrosine/serine/threonine phosphatase activity,GO:0016791~phosphatase activity,GO:0098519~nucleotide phosphatase activity, acting on free nucleotides,
DUSP14	dual specificity phosphatase 14(DUSP14)	Homo sapiens	GO:0006470~protein dephosphorylation,		GO:0003723~RNA binding,GO:0004725~protein tyrosine phosphatase activity,GO:0005515~protein binding,GO:0017017~MAP kinase tyrosine/serine/threonine phosphatase activity,GO:0017018~myosin phosphatase activity,
DUSP22	dual specificity phosphatase 22(DUSP22)	Homo sapiens	GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0002710~negative regulation of T cell mediated immunity,GO:0007165~signal transduction,GO:0007179~transforming growth factor beta receptor signaling pathway,GO:0016311~dephosphorylation,GO:0030336~negative regulation of cell migration,GO:0035335~peptidyl-tyrosine dephosphorylation,GO:0042127~regulation of cell proliferation,GO:0046330~positive regulation of JNK cascade,GO:0050860~negative regulation of T cell receptor signaling pathway,GO:0050868~negative regulation of T cell activation,GO:0051895~negative regulation of focal adhesion assembly,GO:0071364~cellular response to epidermal growth factor stimulus,GO:1903996~negative regulation of non-membrane spanning protein tyrosine kinase activity,	GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0031941~filamentous actin,GO:0061851~leading edge of lamellipodium,	GO:0004725~protein tyrosine phosphatase activity,GO:0004726~non-membrane spanning protein tyrosine phosphatase activity,GO:0008138~protein tyrosine/serine/threonine phosphatase activity,GO:0017018~myosin phosphatase activity,GO:1990782~protein tyrosine kinase binding,
DYRK3	dual specificity tyrosine phosphorylation regulated kinase 3(DYRK3)	Homo sapiens	GO:0006468~protein phosphorylation,GO:0007049~cell cycle,GO:0018105~peptidyl-serine phosphorylation,GO:0018107~peptidyl-threonine phosphorylation,GO:0018108~peptidyl-tyrosine phosphorylation,GO:0030218~erythrocyte differentiation,GO:0035063~nuclear speck organization,GO:0035617~stress granule disassembly,GO:0043066~negative regulation of apoptotic process,GO:0043518~negative regulation of DNA damage response, signal transduction by p53 class mediator,GO:0051301~cell division,GO:0080135~regulation of cellular response to stress,GO:1902751~positive regulation of cell cycle G2/M phase transition,GO:1903008~organelle disassembly,GO:1903432~regulation of TORC1 signaling,	GO:0000242~pericentriolar material,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0005856~cytoskeleton,GO:0010494~cytoplasmic stress granule,GO:0016607~nuclear speck,GO:0043231~intracellular membrane-bounded organelle,	GO:0000287~magnesium ion binding,GO:0004672~protein kinase activity,GO:0004674~protein serine/threonine kinase activity,GO:0004712~protein serine/threonine/tyrosine kinase activity,GO:0004713~protein tyrosine kinase activity,GO:0004714~transmembrane receptor protein tyrosine kinase activity,GO:0005524~ATP binding,
DNM1L	dynamin 1 like(DNM1L)	Homo sapiens	GO:0000266~mitochondrial fission,GO:0001836~release of cytochrome c from mitochondria,GO:0003374~dynamin family protein polymerization involved in mitochondrial fission,GO:0006816~calcium ion transport,GO:0006897~endocytosis,GO:0007005~mitochondrion organization,GO:0010468~regulation of gene expression,GO:0010637~negative regulation of mitochondrial fusion,GO:0010821~regulation of mitochondrion organization,GO:0016559~peroxisome fission,GO:0036466~synaptic vesicle recycling via endosome,GO:0043065~positive regulation of apoptotic process,GO:0043653~mitochondrial fragmentation involved in apoptotic process,GO:0048312~intracellular distribution of mitochondria,GO:0048488~synaptic vesicle endocytosis,GO:0048511~rhythmic process,GO:0050714~positive regulation of protein secretion,GO:0051259~protein oligomerization,GO:0060047~heart contraction,GO:0061003~positive regulation of dendritic spine morphogenesis,GO:0061025~membrane fusion,GO:0065003~macromolecular complex assembly,GO:0070266~necroptotic process,GO:0070584~mitochondrion morphogenesis,GO:0070585~protein localization to mitochondrion,GO:0090023~positive regulation of neutrophil chemotaxis,GO:0090141~positive regulation of mitochondrial fission,GO:0090149~mitochondrial membrane fission,GO:0090200~positive regulation of release of cytochrome c from mitochondria,GO:0090650~cellular response to oxygen-glucose deprivation,GO:1900063~regulation of peroxisome organization,GO:1900244~positive regulation of synaptic vesicle endocytosis,GO:1903146~regulation of mitophagy,GO:1903578~regulation of ATP metabolic process,GO:1904579~cellular response to thapsigargin,GO:1904666~regulation of ubiquitin protein ligase activity,GO:1905395~response to flavonoid,GO:1990910~response to hypobaric hypoxia,GO:2000302~positive regulation of synaptic vesicle exocytosis,GO:2001244~positive regulation of intrinsic apoptotic signaling pathway,	GO:0000139~Golgi membrane,GO:0005737~cytoplasm,GO:0005739~mitochondrion,GO:0005741~mitochondrial outer membrane,GO:0005777~peroxisome,GO:0005783~endoplasmic reticulum,GO:0005789~endoplasmic reticulum membrane,GO:0005794~Golgi apparatus,GO:0005829~cytosol,GO:0005874~microtubule,GO:0005903~brush border,GO:0005905~clathrin-coated pit,GO:0016020~membrane,GO:0030672~synaptic vesicle membrane,GO:0031966~mitochondrial membrane,GO:0032991~macromolecular complex,GO:0043231~intracellular membrane-bounded organelle,GO:0048471~perinuclear region of cytoplasm,GO:0070161~anchoring junction,GO:0098835~presynaptic endocytic zone membrane,GO:0099073~mitochondrion-derived vesicle,	GO:0003924~GTPase activity,GO:0005096~GTPase activator activity,GO:0005515~protein binding,GO:0005525~GTP binding,GO:0008017~microtubule binding,GO:0008289~lipid binding,GO:0030276~clathrin binding,GO:0030742~GTP-dependent protein binding,GO:0031267~small GTPase binding,GO:0031625~ubiquitin protein ligase binding,GO:0042802~identical protein binding,GO:0042803~protein homodimerization activity,GO:0044877~macromolecular complex binding,GO:0051433~BH2 domain binding,
