ID	Gene Name	Species	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	KEGG_PATHWAY	UP_KW_BIOLOGICAL_PROCESS	UP_KW_CELLULAR_COMPONENT	UP_KW_MOLECULAR_FUNCTION	UP_KW_PTM	UP_SEQ_FEATURE
BHLHE40	basic helix-loop-helix family member e40(BHLHE40)	Homo sapiens	GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0006355~regulation of transcription, DNA-templated,GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0007623~circadian rhythm,GO:0009952~anterior/posterior pattern specification,GO:0032922~circadian regulation of gene expression,GO:0042752~regulation of circadian rhythm,GO:0043153~entrainment of circadian clock by photoperiod,GO:0043433~negative regulation of sequence-specific DNA binding transcription factor activity,GO:0045892~negative regulation of transcription, DNA-templated,GO:0050767~regulation of neurogenesis,	GO:0000785~chromatin,GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0016604~nuclear body,	GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding,GO:0001227~transcriptional repressor activity, RNA polymerase II transcription regulatory region sequence-specific binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0005515~protein binding,GO:0019904~protein domain specific binding,GO:0042803~protein homodimerization activity,GO:0043425~bHLH transcription factor binding,GO:0043426~MRF binding,GO:0046982~protein heterodimerization activity,GO:0046983~protein dimerization activity,GO:0061629~RNA polymerase II sequence-specific DNA binding transcription factor binding,GO:0070888~E-box binding,GO:1990837~sequence-specific double-stranded DNA binding,	hsa04710:Circadian rhythm,	KW-0090~Biological rhythms,KW-0804~Transcription,KW-0805~Transcription regulation,	KW-0539~Nucleus,KW-0963~Cytoplasm,	KW-0238~DNA-binding,KW-0678~Repressor,	KW-0597~Phosphoprotein,KW-0832~Ubl conjugation,KW-1017~Isopeptide bond,	COMPBIAS:Basic and acidic residues,COMPBIAS:Polar residues,CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO1); alternate,CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO1, SUMO2 and SUMO3),CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO1, SUMO2 and SUMO3); alternate,CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO2),CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO2); alternate,DOMAIN:BHLH,DOMAIN:Orange,DOMAIN:bHLH,MUTAGEN:H->A: No effect on its interaction with ARNTL/BMAL1 or its repressor activity against the CLOCK-ARNTL/BMAL1 heterodimer. Significant reduction in E-box binding.,MUTAGEN:K->R: Partial loss of sumoylation. Complete loss of sumoylation; when associated with R-159.,MUTAGEN:K->R: Partial loss of sumoylation. Complete loss of sumoylation; when associated with R-279.,MUTAGEN:LL->AA: Abolishes RXRA repression.,MUTAGEN:P->A: No loss of repressor activity against NR0B2.,MUTAGEN:R->A: Loss of interaction with ARNTL/BMAL1 and E-box binding. Significant reduction in its repressor activity against the CLOCK-ARNTL/BMAL1 heterodimer.,MUTAGEN:R->A: Loss of repressor activity against NR0B2.,REGION:Disordered,REGION:Essential for interaction with ARNTL/BMAL1, E-box binding and repressor activity against the CLOCK-ARNTL/BMAL1 heterodimer,REGION:Necessary for interaction with RXRA and repressor activity against RXRA,
BZW2	basic leucine zipper and W2 domains 2(BZW2)	Homo sapiens	GO:0006446~regulation of translational initiation,	GO:0005737~cytoplasm,GO:0016020~membrane,	GO:0005515~protein binding,GO:0045296~cadherin binding,		KW-0810~Translation regulation,	KW-0963~Cytoplasm,		KW-0007~Acetylation,KW-0597~Phosphoprotein,	DOMAIN:W2,MUTAGEN:FVEWLQNAEEE->AAEAAQNAAAA: Reduced interaction with EIF2S2.,MUTAGEN:KWYKEAHVAKGK->QWYQEAQVAQGQ: Reduced interaction with EIF3C.,REGION:Disordered,
BECN1	beclin 1(BECN1)	Homo sapiens	GO:0000045~autophagosome assembly,GO:0000422~mitophagy,GO:0000423~macromitophagy,GO:0001666~response to hypoxia,GO:0006468~protein phosphorylation,GO:0006622~protein targeting to lysosome,GO:0006897~endocytosis,GO:0006914~autophagy,GO:0006915~apoptotic process,GO:0006968~cellular defense response,GO:0006995~cellular response to nitrogen starvation,GO:0007040~lysosome organization,GO:0007049~cell cycle,GO:0007080~mitotic metaphase plate congression,GO:0007568~aging,GO:0008285~negative regulation of cell proliferation,GO:0009410~response to xenobiotic stimulus,GO:0010040~response to iron(II) ion,GO:0010288~response to lead ion,GO:0010506~regulation of autophagy,GO:0010508~positive regulation of autophagy,GO:0010613~positive regulation of cardiac muscle hypertrophy,GO:0014068~positive regulation of phosphatidylinositol 3-kinase signaling,GO:0016236~macroautophagy,GO:0016241~regulation of macroautophagy,GO:0032465~regulation of cytokinesis,GO:0032801~receptor catabolic process,GO:0033197~response to vitamin E,GO:0034198~cellular response to amino acid starvation,GO:0036092~phosphatidylinositol-3-phosphate biosynthetic process,GO:0042149~cellular response to glucose starvation,GO:0042493~response to drug,GO:0043066~negative regulation of apoptotic process,GO:0043652~engulfment of apoptotic cell,GO:0045022~early endosome to late endosome transport,GO:0045324~late endosome to vacuole transport,GO:0048666~neuron development,GO:0050435~beta-amyloid metabolic process,GO:0050790~regulation of catalytic activity,GO:0051301~cell division,GO:0051607~defense response to virus,GO:0051707~response to other organism,GO:0060548~negative regulation of cell death,GO:0070301~cellular response to hydrogen peroxide,GO:0071275~cellular response to aluminum ion,GO:0071280~cellular response to copper ion,GO:0071364~cellular response to epidermal growth factor stimulus,GO:0097352~autophagosome maturation,GO:0098780~response to mitochondrial depolarisation,GO:1902425~positive regulation of attachment of mitotic spindle microtubules to kinetochore,GO:1902902~negative regulation of autophagosome assembly,GO:1905672~negative regulation of lysosome organization,GO:2000378~negative regulation of reactive oxygen species metabolic process,GO:2000786~positive regulation of autophagosome assembly,GO:2001244~positive regulation of intrinsic apoptotic signaling pathway,	GO:0000407~pre-autophagosomal structure,GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005739~mitochondrion,GO:0005768~endosome,GO:0005776~autophagosome,GO:0005783~endoplasmic reticulum,GO:0005789~endoplasmic reticulum membrane,GO:0005794~Golgi apparatus,GO:0005802~trans-Golgi network,GO:0005829~cytosol,GO:0010008~endosome membrane,GO:0016604~nuclear body,GO:0019898~extrinsic component of membrane,GO:0030425~dendrite,GO:0031966~mitochondrial membrane,GO:0034271~phosphatidylinositol 3-kinase complex, class III, type I,GO:0034272~phosphatidylinositol 3-kinase complex, class III, type II,GO:0035032~phosphatidylinositol 3-kinase complex, class III,GO:0045335~phagocytic vesicle,	GO:0005515~protein binding,GO:0019901~protein kinase binding,GO:0031625~ubiquitin protein ligase binding,GO:0042802~identical protein binding,GO:0043548~phosphatidylinositol 3-kinase binding,GO:0051020~GTPase binding,	hsa04136:Autophagy - other,hsa04137:Mitophagy - animal,hsa04140:Autophagy - animal,hsa04215:Apoptosis - multiple species,hsa04371:Apelin signaling pathway,hsa05010:Alzheimer disease,hsa05014:Amyotrophic lateral sclerosis,hsa05016:Huntington disease,hsa05017:Spinocerebellar ataxia,hsa05022:Pathways of neurodegeneration - multiple diseases,hsa05131:Shigellosis,hsa05167:Kaposi sarcoma-associated herpesvirus infection,	KW-0051~Antiviral defense,KW-0053~Apoptosis,KW-0072~Autophagy,KW-0131~Cell cycle,KW-0132~Cell division,KW-0254~Endocytosis,KW-0945~Host-virus interaction,	KW-0256~Endoplasmic reticulum,KW-0333~Golgi apparatus,KW-0472~Membrane,KW-0496~Mitochondrion,KW-0539~Nucleus,KW-0963~Cytoplasm,KW-0967~Endosome,KW-0968~Cytoplasmic vesicle,		KW-0007~Acetylation,KW-0597~Phosphoprotein,KW-0832~Ubl conjugation,KW-1017~Isopeptide bond,	COMPBIAS:Basic and acidic residues,CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in ubiquitin),DOMAIN:APG6,DOMAIN:APG6_N,DOMAIN:BH3,MOTIF:BH3,MUTAGEN:D->A: Abolishes in vitro cleavage by CASP3 and CASP8; when associated with A-133.,MUTAGEN:D->A: Abolishes in vitro cleavage by CASP3 and CASP8; when associated with A-149.,MUTAGEN:D->A: Abolishes in vitro cleavage by CASP8; when associated with A-133.,MUTAGEN:D->A: Abolishes in vitro cleavage by CASP8; when associated with A-146.,MUTAGEN:D->A: No effect on interaction with MUHV-4 M11, disrupts interaction with BCL2L1 isoform Bcl-X(L).,MUTAGEN:D->E: Abolishes in vitro cleavage by CASP3.,MUTAGEN:F->A: Weakly decreases interaction with MUHV-4 M11, disrupts interaction with BCL2 and decreases interaction with BCL2L1 isoform Bcl-X(L). Reduces interaction with BCL2L10.,MUTAGEN:G->E: Decreases interaction with MUHV-4 M11, disrupts interaction with BCL2L1 isoform Bcl-X(L).,MUTAGEN:GD->EA: Weakly decreases interaction with MUHV-4 M11, disrupts interaction with BCL2L1 isoform Bcl-X(L).,MUTAGEN:K->A: Weakly decreases interaction with MUHV-4 M11, greatly decreases interaction with BCL2L1 isoform Bcl-X(L).,MUTAGEN:K->R: Abolished ubiquitination by the DCX(AMBRA1) complex.,MUTAGEN:K->R: Decreases K48 polyubiquitination and stabilizes BECN1.,MUTAGEN:K->R: Does not affect ubiquitination by the DCX(AMBRA1) complex.,MUTAGEN:L->A: Decreases interaction with BCL2L1 isoform Bcl-X(L).,MUTAGEN:L->A: Weakly decreases interaction with MUHV-4 M11, greatly decreases interaction with BCL2L1 isoform Bcl-X(L).,MUTAGEN:S->A: Complete loss of phosphorylation. Complete loss of phosphorylation and defective autophagic function; when associated with Ala-93.,MUTAGEN:S->A: Partial loss of phosphorylation. Complete loss of phosphorylation and defective autophagic function; when associated with Ala-90.,MUTAGEN:W->A: Decrease in membrane-association.,MUTAGEN:Y->A: Significantly reduces ubiquitination.,REGION:Disordered,REGION:Evolutionary conserved domain (ECD),REGION:Interaction with BCL2 and BCL2L1 isoform Bcl-X(L),REGION:Required for membrane-association,
BACE2	beta-secretase 2(BACE2)	Homo sapiens	GO:0006508~proteolysis,GO:0006509~membrane protein ectodomain proteolysis,GO:0016486~peptide hormone processing,GO:0042593~glucose homeostasis,GO:0042985~negative regulation of amyloid precursor protein biosynthetic process,GO:0048143~astrocyte activation,GO:0050435~beta-amyloid metabolic process,	GO:0005768~endosome,GO:0005783~endoplasmic reticulum,GO:0005794~Golgi apparatus,GO:0005802~trans-Golgi network,GO:0005886~plasma membrane,GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0031045~dense core granule,	GO:0004190~aspartic-type endopeptidase activity,GO:0005515~protein binding,	hsa05010:Alzheimer disease,		KW-0256~Endoplasmic reticulum,KW-0333~Golgi apparatus,KW-0472~Membrane,KW-0967~Endosome,KW-1003~Cell membrane,	KW-0064~Aspartyl protease,KW-0378~Hydrolase,KW-0645~Protease,	KW-0068~Autocatalytic cleavage,KW-0325~Glycoprotein,KW-0865~Zymogen,KW-1015~Disulfide bond,	CARBOHYD:N-linked (GlcNAc...) asparagine,DOMAIN:Peptidase A1,MUTAGEN:D->A,N: Loss of autoproteolytic cleavage.,MUTAGEN:D->A: Loss of autoproteolytic cleavage.,TOPO_DOM:Cytoplasmic,TOPO_DOM:Extracellular,TRANSMEM:Helical,
BLVRA	biliverdin reductase A(BLVRA)	Homo sapiens	GO:0042167~heme catabolic process,	GO:0005829~cytosol,GO:0070062~extracellular exosome,	GO:0000166~nucleotide binding,GO:0004074~biliverdin reductase activity,GO:0005515~protein binding,GO:0008270~zinc ion binding,GO:0016491~oxidoreductase activity,	hsa00860:Porphyrin metabolism,hsa01100:Metabolic pathways,		KW-0963~Cytoplasm,	KW-0560~Oxidoreductase,	KW-0007~Acetylation,KW-0597~Phosphoprotein,	BINDING:NAD or NADP; via carbonyl oxygen,BINDING:NADP,DOMAIN:Biliv-reduc_cat,DOMAIN:GFO_IDH_MocA,METAL:Zinc,NP_BIND:NAD or NADP,NP_BIND:NADP,
BPHL	biphenyl hydrolase like(BPHL)	Homo sapiens	GO:0006520~cellular amino acid metabolic process,GO:0006805~xenobiotic metabolic process,GO:0009636~response to toxic substance,	GO:0005739~mitochondrion,GO:0005741~mitochondrial outer membrane,	GO:0016787~hydrolase activity,GO:0047658~alpha-amino-acid esterase activity,				KW-0378~Hydrolase,	KW-0007~Acetylation,	ACT_SITE:Charge relay system,ACT_SITE:Nucleophile,DOMAIN:AB hydrolase-1,MUTAGEN:D->N: <0.1% of wild type activity.,MUTAGEN:H->A: Complete loss of activity.,MUTAGEN:S->A: <0.1% of wild type activity.,SITE:Binding of alpha-amino group of substrate,
BLMH	bleomycin hydrolase(BLMH)	Homo sapiens	GO:0000209~protein polyubiquitination,GO:0006508~proteolysis,GO:0009410~response to xenobiotic stimulus,GO:0009636~response to toxic substance,GO:0042493~response to drug,GO:0043418~homocysteine catabolic process,	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0070062~extracellular exosome,	GO:0004177~aminopeptidase activity,GO:0004180~carboxypeptidase activity,GO:0004197~cysteine-type endopeptidase activity,GO:0005515~protein binding,GO:0008234~cysteine-type peptidase activity,GO:0042802~identical protein binding,			KW-0963~Cytoplasm,	KW-0378~Hydrolase,KW-0645~Protease,KW-0788~Thiol protease,	KW-0007~Acetylation,
BMP4	bone morphogenetic protein 4(BMP4)	Homo sapiens	GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0000186~activation of MAPKK activity,GO:0001649~osteoblast differentiation,GO:0001657~ureteric bud development,GO:0001658~branching involved in ureteric bud morphogenesis,GO:0001759~organ induction,GO:0001822~kidney development,GO:0001823~mesonephros development,GO:0001843~neural tube closure,GO:0001934~positive regulation of protein phosphorylation,GO:0001938~positive regulation of endothelial cell proliferation,GO:0001958~endochondral ossification,GO:0002043~blood vessel endothelial cell proliferation involved in sprouting angiogenesis,GO:0002062~chondrocyte differentiation,GO:0002244~hematopoietic progenitor cell differentiation,GO:0002320~lymphoid progenitor cell differentiation,GO:0003014~renal system process,GO:0003130~BMP signaling pathway involved in heart induction,GO:0003139~secondary heart field specification,GO:0003148~outflow tract septum morphogenesis,GO:0003149~membranous septum morphogenesis,GO:0003163~sinoatrial node development,GO:0003180~aortic valve morphogenesis,GO:0003184~pulmonary valve morphogenesis,GO:0003197~endocardial cushion development,GO:0003279~cardiac septum development,GO:0003323~type B pancreatic cell development,GO:0003337~mesenchymal to epithelial transition involved in metanephros morphogenesis,GO:0006366~transcription from RNA polymerase II promoter,GO:0007182~common-partner SMAD protein phosphorylation,GO:0007281~germ cell development,GO:0007492~endoderm development,GO:0007500~mesodermal cell fate determination,GO:0008284~positive regulation of cell proliferation,GO:0008285~negative regulation of cell proliferation,GO:0009791~post-embryonic development,GO:0009948~anterior/posterior axis specification,GO:0010159~specification of animal organ position,GO:0010453~regulation of cell fate commitment,GO:0010595~positive regulation of endothelial cell migration,GO:0010628~positive regulation of gene expression,GO:0010629~negative regulation of gene expression,GO:0010718~positive regulation of epithelial to mesenchymal transition,GO:0010862~positive regulation of pathway-restricted SMAD protein phosphorylation,GO:0010942~positive regulation of cell death,GO:0021537~telencephalon development,GO:0021904~dorsal/ventral neural tube patterning,GO:0021978~telencephalon regionalization,GO:0021983~pituitary gland development,GO:0030218~erythrocyte differentiation,GO:0030224~monocyte differentiation,GO:0030225~macrophage differentiation,GO:0030501~positive regulation of bone mineralization,GO:0030509~BMP signaling pathway,GO:0030513~positive regulation of BMP signaling pathway,GO:0032092~positive regulation of protein binding,GO:0032331~negative regulation of chondrocyte differentiation,GO:0032967~positive regulation of collagen biosynthetic process,GO:0033085~negative regulation of T cell differentiation in thymus,GO:0033088~negative regulation of immature T cell proliferation in thymus,GO:0034504~protein localization to nucleus,GO:0035116~embryonic hindlimb morphogenesis,GO:0035990~tendon cell differentiation,GO:0035993~deltoid tuberosity development,GO:0036305~ameloblast differentiation,GO:0042306~regulation of protein import into nucleus,GO:0042326~negative regulation of phosphorylation,GO:0042475~odontogenesis of dentin-containing tooth,GO:0042476~odontogenesis,GO:0042487~regulation of odontogenesis of dentin-containing tooth,GO:0042491~auditory receptor cell differentiation,GO:0042733~embryonic digit morphogenesis,GO:0043065~positive regulation of apoptotic process,GO:0043066~negative regulation of apoptotic process,GO:0043401~steroid hormone mediated signaling pathway,GO:0043407~negative regulation of MAP kinase activity,GO:0043410~positive regulation of MAPK cascade,GO:0045603~positive regulation of endothelial cell differentiation,GO:0045606~positive regulation of epidermal cell differentiation,GO:0045662~negative regulation of myoblast differentiation,GO:0045666~positive regulation of neuron differentiation,GO:0045669~positive regulation of osteoblast differentiation,GO:0045778~positive regulation of ossification,GO:0045786~negative regulation of cell cycle,GO:0045839~negative regulation of mitotic nuclear division,GO:0045843~negative regulation of striated muscle tissue development,GO:0045892~negative regulation of transcription, DNA-templated,GO:0045893~positive regulation of transcription, DNA-templated,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0048286~lung alveolus development,GO:0048392~intermediate mesodermal cell differentiation,GO:0048660~regulation of smooth muscle cell proliferation,GO:0048661~positive regulation of smooth muscle cell proliferation,GO:0048663~neuron fate commitment,GO:0048701~embryonic cranial skeleton morphogenesis,GO:0048745~smooth muscle tissue development,GO:0048754~branching morphogenesis of an epithelial tube,GO:0050679~positive regulation of epithelial cell proliferation,GO:0050680~negative regulation of epithelial cell proliferation,GO:0050918~positive chemotaxis,GO:0051150~regulation of smooth muscle cell differentiation,GO:0055007~cardiac muscle cell differentiation,GO:0055020~positive regulation of cardiac muscle fiber development,GO:0060113~inner ear receptor cell differentiation,GO:0060197~cloacal septation,GO:0060235~lens induction in camera-type eye,GO:0060272~embryonic skeletal joint morphogenesis,GO:0060363~cranial suture morphogenesis,GO:0060391~positive regulation of SMAD protein import into nucleus,GO:0060393~regulation of pathway-restricted SMAD protein phosphorylation,GO:0060395~SMAD protein signal transduction,GO:0060425~lung morphogenesis,GO:0060433~bronchus development,GO:0060438~trachea development,GO:0060440~trachea formation,GO:0060441~epithelial tube branching involved in lung morphogenesis,GO:0060442~branching involved in prostate gland morphogenesis,GO:0060449~bud elongation involved in lung branching,GO:0060502~epithelial cell proliferation involved in lung morphogenesis,GO:0060503~bud dilation involved in lung branching,GO:0060513~prostatic bud formation,GO:0060548~negative regulation of cell death,GO:0060592~mammary gland formation,GO:0060684~epithelial-mesenchymal cell signaling,GO:0060686~negative regulation of prostatic bud formation,GO:0060687~regulation of branching involved in prostate gland morphogenesis,GO:0060976~coronary vasculature development,GO:0061036~positive regulation of cartilage development,GO:0061047~positive regulation of branching involved in lung morphogenesis,GO:0061149~BMP signaling pathway involved in ureter morphogenesis,GO:0061151~BMP signaling pathway involved in renal system segmentation,GO:0061155~pulmonary artery endothelial tube morphogenesis,GO:0061312~BMP signaling pathway involved in heart development,GO:0061626~pharyngeal arch artery morphogenesis,GO:0070244~negative regulation of thymocyte apoptotic process,GO:0070374~positive regulation of ERK1 and ERK2 cascade,GO:0071773~cellular response to BMP stimulus,GO:0071893~BMP signaling pathway involved in nephric duct formation,GO:0072015~glomerular visceral epithelial cell development,GO:0072097~negative regulation of branch elongation involved in ureteric bud branching by BMP signaling pathway,GO:0072101~specification of ureteric bud anterior/posterior symmetry by BMP signaling pathway,GO:0072104~glomerular capillary formation,GO:0072125~negative regulation of glomerular mesangial cell proliferation,GO:0072138~mesenchymal cell proliferation involved in ureteric bud development,GO:0072161~mesenchymal cell differentiation involved in kidney development,GO:0072192~ureter epithelial cell differentiation,GO:0072193~ureter smooth muscle cell differentiation,GO:0072198~mesenchymal cell proliferation involved in ureter development,GO:0072200~negative regulation of mesenchymal cell proliferation involved in ureter development,GO:0072205~metanephric collecting duct development,GO:0090184~positive regulation of kidney development,GO:0090191~negative regulation of branching involved in ureteric bud morphogenesis,GO:0090194~negative regulation of glomerulus development,GO:1900745~positive regulation of p38MAPK cascade,GO:1901964~positive regulation of cell proliferation involved in outflow tract morphogenesis,GO:1902894~negative regulation of pri-miRNA transcription from RNA polymerase II promoter,GO:1902895~positive regulation of pri-miRNA transcription from RNA polymerase II promoter,GO:1903800~positive regulation of production of miRNAs involved in gene silencing by miRNA,GO:1904238~pericyte cell differentiation,GO:1905312~positive regulation of cardiac neural crest cell migration involved in outflow tract morphogenesis,GO:1905770~regulation of mesodermal cell differentiation,GO:2000005~negative regulation of metanephric S-shaped body morphogenesis,GO:2000007~negative regulation of metanephric comma-shaped body morphogenesis,GO:2000137~negative regulation of cell proliferation involved in heart morphogenesis,GO:2001237~negative regulation of extrinsic apoptotic signaling pathway,	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005788~endoplasmic reticulum lumen,	GO:0005125~cytokine activity,GO:0005515~protein binding,GO:0008083~growth factor activity,GO:0008201~heparin binding,GO:0039706~co-receptor binding,GO:0042056~chemoattractant activity,GO:0070700~BMP receptor binding,	hsa04060:Cytokine-cytokine receptor interaction,hsa04350:TGF-beta signaling pathway,hsa04390:Hippo signaling pathway,hsa04550:Signaling pathways regulating pluripotency of stem cells,hsa04919:Thyroid hormone signaling pathway,hsa05200:Pathways in cancer,hsa05217:Basal cell carcinoma,hsa05418:Fluid shear stress and atherosclerosis,	KW-0221~Differentiation,KW-0891~Chondrogenesis,KW-0892~Osteogenesis,	KW-0272~Extracellular matrix,KW-0964~Secreted,	KW-0202~Cytokine,KW-0217~Developmental protein,KW-0339~Growth factor,KW-9996~Developmental protein,	KW-0165~Cleavage on pair of basic residues,KW-0325~Glycoprotein,KW-0597~Phosphoprotein,KW-1015~Disulfide bond,	CARBOHYD:N-linked (GlcNAc...) asparagine,COMPBIAS:Basic residues,DISULFID:Interchain,DOMAIN:TGF_BETA_2,DOMAIN:TGFb_propeptide,REGION:Disordered,
BLTP2	bridge-like lipid transfer protein family member 2(BLTP2)	Homo sapiens		GO:0005576~extracellular region,				KW-0964~Secreted,		KW-0325~Glycoprotein,KW-0597~Phosphoprotein,	CARBOHYD:N-linked (GlcNAc...) asparagine,COMPBIAS:Polar residues,REGION:Disordered,
ARPP19	cAMP regulated phosphoprotein 19(ARPP19)	Homo sapiens	GO:0000086~G2/M transition of mitotic cell cycle,GO:0000278~mitotic cell cycle,GO:0007049~cell cycle,GO:0007212~dopamine receptor signaling pathway,GO:0035308~negative regulation of protein dephosphorylation,GO:0043086~negative regulation of catalytic activity,GO:0045722~positive regulation of gluconeogenesis,GO:0046326~positive regulation of glucose import,GO:0046579~positive regulation of Ras protein signal transduction,GO:0051301~cell division,	GO:0005654~nucleoplasm,GO:0005737~cytoplasm,	GO:0004864~protein phosphatase inhibitor activity,GO:0005102~receptor binding,GO:0005515~protein binding,GO:0015459~potassium channel regulator activity,GO:0019212~phosphatase inhibitor activity,GO:0019888~protein phosphatase regulator activity,GO:0051721~protein phosphatase 2A binding,		KW-0131~Cell cycle,KW-0132~Cell division,KW-0498~Mitosis,	KW-0963~Cytoplasm,	KW-0650~Protein phosphatase inhibitor,	KW-0007~Acetylation,KW-0597~Phosphoprotein,	COMPBIAS:Basic and acidic residues,COMPBIAS:Polar residues,REGION:Disordered,
