ID	Gene Name	Species	BBID	BIOCARTA	COG_ONTOLOGY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	UP_KW_BIOLOGICAL_PROCESS	UP_KW_CELLULAR_COMPONENT	UP_KW_DISEASE	UP_KW_DOMAIN	UP_KW_LIGAND	UP_KW_MOLECULAR_FUNCTION	UP_KW_PTM	UP_SEQ_FEATURE
ETV1	ETS variant transcription factor 1(ETV1)	Homo sapiens				GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0006366~transcription from RNA polymerase II promoter,GO:0007411~axon guidance,GO:0007517~muscle organ development,GO:0007638~mechanosensory behavior,GO:0030154~cell differentiation,GO:0045893~positive regulation of transcription, DNA-templated,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0048935~peripheral nervous system neuron development,	GO:0000785~chromatin,GO:0005634~nucleus,	GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding,GO:0001228~transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0005515~protein binding,GO:0043565~sequence-specific DNA binding,GO:1990837~sequence-specific double-stranded DNA binding,	IPR000418:Ets domain,IPR006715:PEA3-type ETS-domain transcription factor, N-terminal,	hsa05202:Transcriptional misregulation in cancer,			SM00413:ETS,	KW-0804~Transcription,KW-0805~Transcription regulation,	KW-0539~Nucleus,	KW-0656~Proto-oncogene,			KW-0010~Activator,KW-0238~DNA-binding,	KW-0597~Phosphoprotein,KW-0832~Ubl conjugation,KW-1017~Isopeptide bond,	COMPBIAS:Polar residues,CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO2),DNA_BIND:ETS,DOMAIN:ETS,DOMAIN:ETS_PEA3_N,MUTAGEN:S->A: Loss of phosphorylation by RPS6KA5.,REGION:Disordered,
EVL	Enah/Vasp-like(EVL)	Homo sapiens				GO:0007015~actin filament organization,GO:0007166~cell surface receptor signaling pathway,GO:0007399~nervous system development,GO:0007411~axon guidance,GO:0008154~actin polymerization or depolymerization,GO:0009887~animal organ morphogenesis,GO:0010633~negative regulation of epithelial cell migration,GO:0030838~positive regulation of actin filament polymerization,GO:0045010~actin nucleation,GO:0051289~protein homotetramerization,GO:0051496~positive regulation of stress fiber assembly,GO:1900028~negative regulation of ruffle assembly,	GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0005856~cytoskeleton,GO:0005925~focal adhesion,GO:0016020~membrane,GO:0030027~lamellipodium,	GO:0003779~actin binding,GO:0005515~protein binding,GO:0005522~profilin binding,GO:0017124~SH3 domain binding,	IPR000697:EVH1,IPR011993:Pleckstrin homology-like domain,IPR014885:VASP tetramerisation,IPR017354:Vasodilator-stimulated phosphoprotein,	hsa04015:Rap1 signaling pathway,		PIRSF038010:vasodilator-stimulated phosphoprotein,	SM00461:WH1,		KW-0206~Cytoskeleton,KW-0963~Cytoplasm,KW-0966~Cell projection,		KW-0175~Coiled coil,KW-0729~SH3-binding,		KW-0009~Actin-binding,	KW-0597~Phosphoprotein,	COMPBIAS:Basic and acidic residues,COMPBIAS:Polar residues,COMPBIAS:Pro residues,DOMAIN:VASP_tetra,DOMAIN:WH1,MOTIF:KLKR,REGION:Disordered,REGION:EVH2,REGION:EVH2 block A,REGION:EVH2 block B,REGION:EVH2 block C,REGION:Required for interaction with ZDHHC17,
FBXL12	F-box and leucine rich repeat protein 12(FBXL12)	Homo sapiens				GO:0000086~G2/M transition of mitotic cell cycle,GO:0000209~protein polyubiquitination,GO:0016567~protein ubiquitination,GO:0031146~SCF-dependent proteasomal ubiquitin-dependent protein catabolic process,GO:0043153~entrainment of circadian clock by photoperiod,GO:0043687~post-translational protein modification,GO:0051726~regulation of cell cycle,	GO:0005634~nucleus,GO:0005829~cytosol,GO:0016021~integral component of membrane,GO:0019005~SCF ubiquitin ligase complex,	GO:0005515~protein binding,	IPR001810:F-box domain, cyclin-like,				SM00256:FBOX,	KW-0833~Ubl conjugation pathway,	KW-0472~Membrane,		KW-0433~Leucine-rich repeat,KW-0677~Repeat,KW-0812~Transmembrane,KW-1133~Transmembrane helix,				COMPBIAS:Polar residues,DOMAIN:F-box,REGION:Disordered,REPEAT:LRR 1,REPEAT:LRR 2,REPEAT:LRR 3,REPEAT:LRR 4,REPEAT:LRR 5,REPEAT:LRR 6,REPEAT:LRR 7,REPEAT:LRR 8,TRANSMEM:Helical,
FBXO11	F-box protein 11(FBXO11)	Homo sapiens			Inorganic ion transport and metabolism,	GO:0000209~protein polyubiquitination,GO:0006464~cellular protein modification process,GO:0006511~ubiquitin-dependent protein catabolic process,GO:0007605~sensory perception of sound,GO:0016567~protein ubiquitination,GO:0035246~peptidyl-arginine N-methylation,GO:0042981~regulation of apoptotic process,GO:0043687~post-translational protein modification,	GO:0000151~ubiquitin ligase complex,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005694~chromosome,GO:0005730~nucleolus,GO:0005737~cytoplasm,GO:0005829~cytosol,	GO:0004842~ubiquitin-protein transferase activity,GO:0005515~protein binding,GO:0008270~zinc ion binding,GO:0016274~protein-arginine N-methyltransferase activity,	IPR001810:F-box domain, cyclin-like,IPR003126:Zinc finger, N-recognin,IPR006626:Parallel beta-helix repeat,IPR006633:Carbohydrate-binding/sugar hydrolysis domain,IPR007742:Periplasmic copper-binding protein NosD, beta helix domain,IPR011050:Pectin lyase fold/virulence factor,IPR012334:Pectin lyase fold,IPR022441:Parallel beta-helix repeat-2,		618089~Intellectual developmental disorder with dysmorphic facies and behavioral abnormalities,		SM00256:FBOX,SM00396:ZnF_UBR1,SM00710:PbH1,SM00722:CASH,	KW-0833~Ubl conjugation pathway,	KW-0158~Chromosome,KW-0539~Nucleus,	KW-0225~Disease variant,KW-0991~Mental retardation,	KW-0677~Repeat,KW-0863~Zinc-finger,	KW-0479~Metal-binding,KW-0862~Zinc,			COMPBIAS:Polar residues,COMPBIAS:Pro residues,DOMAIN:CASH,DOMAIN:F-box,DOMAIN:UBR-type,MUTAGEN:Q->L: Greatly reduced ability to bind PRDM1 and reduced proteolysis of PRDM1.,REGION:Disordered,REPEAT:PbH1 1,REPEAT:PbH1 10,REPEAT:PbH1 11,REPEAT:PbH1 12,REPEAT:PbH1 13,REPEAT:PbH1 14,REPEAT:PbH1 15,REPEAT:PbH1 16,REPEAT:PbH1 17,REPEAT:PbH1 18,REPEAT:PbH1 19,REPEAT:PbH1 2,REPEAT:PbH1 3,REPEAT:PbH1 4,REPEAT:PbH1 5,REPEAT:PbH1 6,REPEAT:PbH1 7,REPEAT:PbH1 8,REPEAT:PbH1 9,ZN_FING:UBR-type,
FBXO21	F-box protein 21(FBXO21)	Homo sapiens			Function unknown,	GO:0000209~protein polyubiquitination,GO:0006511~ubiquitin-dependent protein catabolic process,GO:0016567~protein ubiquitination,GO:0043687~post-translational protein modification,	GO:0000151~ubiquitin ligase complex,GO:0005829~cytosol,	GO:0003677~DNA binding,GO:0004842~ubiquitin-protein transferase activity,	IPR011722:Hemimethylated DNA-binding domain,				SM00992:SM00992,	KW-0833~Ubl conjugation pathway,							DOMAIN:F-box,DOMAIN:YccV-like,
FBXO7	F-box protein 7(FBXO7)	Homo sapiens				GO:0000209~protein polyubiquitination,GO:0000422~mitophagy,GO:0006511~ubiquitin-dependent protein catabolic process,GO:0006626~protein targeting to mitochondrion,GO:0010975~regulation of neuron projection development,GO:0016567~protein ubiquitination,GO:0031647~regulation of protein stability,GO:0040012~regulation of locomotion,GO:0043687~post-translational protein modification,GO:0045620~negative regulation of lymphocyte differentiation,GO:0045736~negative regulation of cyclin-dependent protein serine/threonine kinase activity,GO:1903204~negative regulation of oxidative stress-induced neuron death,GO:1903208~negative regulation of hydrogen peroxide-induced neuron death,GO:1903599~positive regulation of mitophagy,GO:2000134~negative regulation of G1/S transition of mitotic cell cycle,	GO:0000151~ubiquitin ligase complex,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005739~mitochondrion,GO:0005829~cytosol,GO:0019005~SCF ubiquitin ligase complex,GO:0032991~macromolecular complex,GO:0097409~glial cytoplasmic inclusion,GO:0097414~classical Lewy body,GO:0097462~Lewy neurite,GO:1990037~Lewy body core,GO:1990038~Lewy body corona,	GO:0004842~ubiquitin-protein transferase activity,GO:0005515~protein binding,GO:0019901~protein kinase binding,GO:0031625~ubiquitin protein ligase binding,GO:0043130~ubiquitin binding,GO:0046982~protein heterodimerization activity,GO:1990756~protein binding, bridging involved in substrate recognition for ubiquitination,	IPR001810:F-box domain, cyclin-like,IPR021625:Proteasome Inhibitor PI31,		260300~Parkinson disease 15, autosomal recessive,		SM00256:FBOX,	KW-0833~Ubl conjugation pathway,	KW-0496~Mitochondrion,KW-0539~Nucleus,KW-0963~Cytoplasm,	KW-0225~Disease variant,KW-0523~Neurodegeneration,KW-0907~Parkinson disease,KW-0908~Parkinsonism,				KW-0488~Methylation,	COMPBIAS:Polar residues,DOMAIN:F-box,MOTIF:RFDP motif,MUTAGEN:T->M: Impairs interaction with PRKN.,MUTAGEN:V->E: Abolishes interaction with PSMF1.,REGION:Disordered,REGION:Important for dimerization and interaction with PSMF1,REGION:Important for interaction with CDK6,REGION:Important for interaction with PINK1,REGION:Ubiquitin-like,
FAM20B	FAM20B glycosaminoglycan xylosylkinase(FAM20B)	Homo sapiens				GO:0030166~proteoglycan biosynthetic process,	GO:0000139~Golgi membrane,GO:0005654~nucleoplasm,GO:0005794~Golgi apparatus,GO:0016021~integral component of membrane,	GO:0005515~protein binding,GO:0005524~ATP binding,GO:0016301~kinase activity,GO:0016773~phosphotransferase activity, alcohol group as acceptor,GO:0046872~metal ion binding,	IPR009581:Domain of unknown function DUF1193,IPR024869:FAM20,						KW-0333~Golgi apparatus,KW-0472~Membrane,		KW-0735~Signal-anchor,KW-0812~Transmembrane,KW-1133~Transmembrane helix,	KW-0067~ATP-binding,KW-0464~Manganese,KW-0479~Metal-binding,KW-0547~Nucleotide-binding,	KW-0418~Kinase,KW-0808~Transferase,	KW-0325~Glycoprotein,KW-1015~Disulfide bond,	BINDING:ATP,BINDING:ATP; via amide nitrogen,CARBOHYD:N-linked (GlcNAc...) asparagine,DOMAIN:Fam20C,METAL:Manganese,NP_BIND:ATP,TOPO_DOM:Cytoplasmic,TOPO_DOM:Lumenal,TRANSMEM:Helical; Signal-anchor for type II membrane protein,
FASTKD5	FAST kinase domains 5(FASTKD5)	Homo sapiens				GO:0000963~mitochondrial RNA processing,GO:0006397~mRNA processing,GO:0044528~regulation of mitochondrial mRNA stability,	GO:0005739~mitochondrion,GO:0005759~mitochondrial matrix,GO:0035770~ribonucleoprotein granule,GO:0042645~mitochondrial nucleoid,	GO:0003723~RNA binding,GO:0005515~protein binding,GO:0019843~rRNA binding,	IPR010622:FAST kinase leucine-rich,IPR013579:FAST kinase-like protein, subdomain 2,IPR013584:RAP domain,				SM00952:SM00952,	KW-0507~mRNA processing,	KW-0496~Mitochondrion,KW-1135~Mitochondrion nucleoid,		KW-0809~Transit peptide,		KW-0694~RNA-binding,KW-0699~rRNA-binding,	KW-0007~Acetylation,KW-0597~Phosphoprotein,	DOMAIN:RAP,TRANSIT:Mitochondrion,
FAT1	FAT atypical cadherin 1(FAT1)	Homo sapiens				GO:0002088~lens development in camera-type eye,GO:0003382~epithelial cell morphogenesis,GO:0003412~establishment of epithelial cell apical/basal polarity involved in camera-type eye morphogenesis,GO:0007015~actin filament organization,GO:0007155~cell adhesion,GO:0007156~homophilic cell adhesion via plasma membrane adhesion molecules,GO:0007163~establishment or maintenance of cell polarity,GO:0007267~cell-cell signaling,GO:0009653~anatomical structure morphogenesis,GO:0016477~cell migration,GO:0098609~cell-cell adhesion,	GO:0005634~nucleus,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0005911~cell-cell junction,GO:0005925~focal adhesion,GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0016324~apical plasma membrane,GO:0030027~lamellipodium,GO:0030054~cell junction,GO:0030175~filopodium,GO:0048471~perinuclear region of cytoplasm,GO:0070062~extracellular exosome,	GO:0005509~calcium ion binding,GO:0005515~protein binding,	IPR000152:EGF-type aspartate/asparagine hydroxylation site,IPR000742:Epidermal growth factor-like domain,IPR001791:Laminin G domain,IPR001881:EGF-like calcium-binding,IPR002126:Cadherin,IPR013320:Concanavalin A-like lectin/glucanase, subgroup,IPR015919:Cadherin-like,IPR018097:EGF-like calcium-binding, conserved site,IPR020894:Cadherin conserved site,				SM00112:CA,SM00179:EGF_CA,SM00181:EGF,SM00282:LamG,	KW-0130~Cell adhesion,	KW-0472~Membrane,KW-0539~Nucleus,KW-1003~Cell membrane,		KW-0245~EGF-like domain,KW-0677~Repeat,KW-0732~Signal,KW-0812~Transmembrane,KW-1133~Transmembrane helix,	KW-0106~Calcium,		KW-0325~Glycoprotein,KW-1015~Disulfide bond,	CARBOHYD:N-linked (GlcNAc...) asparagine,COMPBIAS:Basic and acidic residues,COMPBIAS:Polar residues,COMPBIAS:Pro residues,DOMAIN:Cadherin,DOMAIN:Cadherin 1,DOMAIN:Cadherin 10,DOMAIN:Cadherin 11,DOMAIN:Cadherin 12,DOMAIN:Cadherin 13,DOMAIN:Cadherin 14,DOMAIN:Cadherin 15,DOMAIN:Cadherin 16,DOMAIN:Cadherin 17,DOMAIN:Cadherin 18,DOMAIN:Cadherin 19,DOMAIN:Cadherin 2,DOMAIN:Cadherin 20,DOMAIN:Cadherin 21,DOMAIN:Cadherin 22,DOMAIN:Cadherin 23,DOMAIN:Cadherin 24,DOMAIN:Cadherin 25,DOMAIN:Cadherin 26,DOMAIN:Cadherin 27,DOMAIN:Cadherin 28,DOMAIN:Cadherin 29,DOMAIN:Cadherin 3,DOMAIN:Cadherin 30,DOMAIN:Cadherin 31,DOMAIN:Cadherin 32,DOMAIN:Cadherin 33,DOMAIN:Cadherin 4,DOMAIN:Cadherin 5,DOMAIN:Cadherin 6,DOMAIN:Cadherin 7,DOMAIN:Cadherin 8,DOMAIN:Cadherin 9,DOMAIN:EGF-like,DOMAIN:EGF-like 1,DOMAIN:EGF-like 2,DOMAIN:EGF-like 3,DOMAIN:EGF-like 4,DOMAIN:EGF-like 5; calcium-binding,DOMAIN:LAM_G_DOMAIN,DOMAIN:Laminin G-like,MOTIF:Nuclear localization signal,MOTIF:PTB-like motif,REGION:Disordered,TOPO_DOM:Cytoplasmic,TOPO_DOM:Extracellular,TRANSMEM:Helical,
FCHO1	FCH and mu domain containing endocytic adaptor 1(FCHO1)	Homo sapiens				GO:0048268~clathrin coat assembly,GO:0050852~T cell receptor signaling pathway,GO:0050870~positive regulation of T cell activation,GO:0061024~membrane organization,GO:0072583~clathrin-dependent endocytosis,	GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0005856~cytoskeleton,GO:0005886~plasma membrane,GO:0005905~clathrin-coated pit,	GO:0005515~protein binding,GO:0035612~AP-2 adaptor complex binding,	IPR001060:FCH domain,IPR018808:Muniscin C-terminal mu homology domain,IPR022023:U1 small nuclear ribonucleoprotein of 70kDa N-terminal,IPR027267:Arfaptin homology (AH) domain/BAR domain,		619164~Immunodeficiency 76,		SM00055:FCH,	KW-0254~Endocytosis,	KW-0168~Coated pit,KW-0472~Membrane,		KW-0175~Coiled coil,			KW-0597~Phosphoprotein,	COMPBIAS:Polar residues,COMPBIAS:Pro residues,DOMAIN:F-BAR,DOMAIN:MHD,REGION:Disordered,REGION:Mediates interaction with AGFG1, CALM, DAB2, EPS15, EPS15R, ITSN1 and clathrin,REGION:Mediates interaction with the adaptor protein complex AP-2,REGION:Mediates membrane-binding,
FKBP14	FKBP prolyl isomerase 14(FKBP14)	Homo sapiens				GO:0000413~protein peptidyl-prolyl isomerization,GO:0036498~IRE1-mediated unfolded protein response,	GO:0005788~endoplasmic reticulum lumen,	GO:0003755~peptidyl-prolyl cis-trans isomerase activity,GO:0005509~calcium ion binding,GO:0005515~protein binding,	IPR001179:Peptidyl-prolyl cis-trans isomerase, FKBP-type, domain,IPR002048:EF-hand domain,IPR011992:EF-hand-like domain,IPR018247:EF-Hand 1, calcium-binding site,		614557~Ehlers-Danlos syndrome, kyphoscoliotic type, 2,				KW-0256~Endoplasmic reticulum,	KW-0209~Deafness,KW-0248~Ehlers-Danlos syndrome,	KW-0677~Repeat,KW-0732~Signal,	KW-0106~Calcium,KW-0479~Metal-binding,	KW-0413~Isomerase,KW-0697~Rotamase,	KW-0325~Glycoprotein,KW-1015~Disulfide bond,	CARBOHYD:N-linked (GlcNAc...) asparagine,CA_BIND:1,CA_BIND:2,DOMAIN:EF-hand,DOMAIN:EF-hand 1,DOMAIN:EF-hand 2,DOMAIN:PPIase FKBP-type,MOTIF:Prevents secretion from ER,
FKBP4	FKBP prolyl isomerase 4(FKBP4)	Homo sapiens				GO:0000413~protein peptidyl-prolyl isomerization,GO:0006457~protein folding,GO:0006463~steroid hormone receptor complex assembly,GO:0006825~copper ion transport,GO:0007566~embryo implantation,GO:0010977~negative regulation of neuron projection development,GO:0030521~androgen receptor signaling pathway,GO:0030850~prostate gland development,GO:0031111~negative regulation of microtubule polymerization or depolymerization,GO:0031115~negative regulation of microtubule polymerization,GO:0031503~protein complex localization,GO:0046661~male sex differentiation,GO:0061077~chaperone-mediated protein folding,GO:1900034~regulation of cellular response to heat,	GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005739~mitochondrion,GO:0005829~cytosol,GO:0005874~microtubule,GO:0032991~macromolecular complex,GO:0043025~neuronal cell body,GO:0044295~axonal growth cone,GO:0048471~perinuclear region of cytoplasm,GO:0070062~extracellular exosome,	GO:0003723~RNA binding,GO:0003755~peptidyl-prolyl cis-trans isomerase activity,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0005525~GTP binding,GO:0005528~FK506 binding,GO:0030674~protein binding, bridging,GO:0031072~heat shock protein binding,GO:0032767~copper-dependent protein binding,GO:0035259~glucocorticoid receptor binding,GO:0048156~tau protein binding,GO:0051219~phosphoprotein binding,	IPR001179:Peptidyl-prolyl cis-trans isomerase, FKBP-type, domain,IPR001440:Tetratricopeptide TPR-1,IPR011990:Tetratricopeptide-like helical,IPR013026:Tetratricopeptide repeat-containing domain,IPR013105:Tetratricopeptide TPR2,IPR019734:Tetratricopeptide repeat,	hsa04915:Estrogen signaling pathway,			SM00028:TPR,		KW-0206~Cytoskeleton,KW-0493~Microtubule,KW-0496~Mitochondrion,KW-0539~Nucleus,KW-0963~Cytoplasm,KW-0966~Cell projection,		KW-0175~Coiled coil,KW-0677~Repeat,KW-0802~TPR repeat,		KW-0143~Chaperone,KW-0413~Isomerase,KW-0697~Rotamase,	KW-0007~Acetylation,KW-0488~Methylation,KW-0597~Phosphoprotein,KW-0832~Ubl conjugation,KW-1017~Isopeptide bond,	COMPBIAS:Basic and acidic residues,COMPBIAS:Polar residues,CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO1),DOMAIN:PPIase FKBP-type,DOMAIN:PPIase FKBP-type 1,DOMAIN:PPIase FKBP-type 2,MUTAGEN:FD->DV: Decreased catalytic activity toward TRPC1.,REGION:Disordered,REGION:Interaction with tubulin,REPEAT:TPR,REPEAT:TPR 1,REPEAT:TPR 2,REPEAT:TPR 3,
